Food Group,Food_Protein,Protein (g),Food Group,Food_Fat,Total Fat (g),Food Group,Food_Fiber,Total Dietary Fiber(g),Food Group,Food_CHO,CHO (g),Food Group,Food_Energy,Energy (kcals),Food Group,Food_Thiamine,Thaimine (mg),Food Group,Food_Riboflavin,Riboflavin (mg),Food Group,Food_Niacin,Niacin (mg),Food Group,Food_Pantothenic ,Pantothenic acid (mg),Food Group,Food_B6,Total B6 (mg),Food Group,Food_Biotin,Biotin (B7) (mcg),Food Group,Food_folates,Total folates (mcg),Food Group,Food_ascorbic,Total ascorbic acid (mg),Food Group,Food_Ergocalciferol,Ergocalciferol D2 (mcg),Food Group,Food_Vit_E,Vit E (mg),Food Group,Food_Vit_K1,Vit K1 (mcg),Food Group,Food Name,beta- carotene (mcg),Food Group,Food Name,Calcium (mg),Food Group,Food Name,Chromium (mg),Food Group,Food Name,Iron (mg),Food Group,Food Name,Magnesium (mg),Food Group,Food Name,Manganese (mg),Food Group,Food Name,Molebdeum (mg),Food Group,Food Name,Phosphorus (mg),Food Group,Food Name,Potassium (mg),Food Group,Food Name,Selenium (mcg),Food Group,Food Name,Sodium (mg),Food Group,Food Name,Zinc (mg),Food Group,Food Name,Linoleic (mg),Food Group,Food Name,alpha- linolenic (mg),Food Group,Food Name,Arachidonic (mg),Food Group,Food Name,Histidine (g),Food Group,Food Name,Isoleucine (g),Food Group,Food_Luecine,Luecine (g),Food Group,Food_Lysine,Lysine (g),Food Group,Food_Methionine,Methionine (g),Food Group,Food_Cystine,Cystine (g),Food Group,Food_Phenylalanine,Phenylalanine (g),Food Group,Food_Threonine,Threonine (g),Food Group,Food_Tryptophan,Tryptophan (g),Food Group,Food_Valine,Valine (g)
OV,"Tomato, green",1.12,OV,"Tomato, ripe, hybrid",0.25,OV,"Papaya, raw",2.28,OV,Drumstick,3.76,GLV,Mustard leaves,30.353762,F,Pineapple ,0.03,M,"Button mushroom, fresh ",0.03,RT,"Radish, elongate, white skin",0.3,OV,"Capsicum, green",0.21,CM,Rice puffed,0.07,GL,"Bengal gram, whole",0.93,F,"Lime, sweet,pulp ",15.38,NOS,Ground nut ,0,NOS,Linseeds,0.55,F,"Apple, small, Kashmir ",0.05,F,"Papaya, ripe ",2.59,F,"Jambu fruit, ripe",1.55,OV,Bottlegourd,16.27,F,Custard apple ,0.003,MF,Toddy,0.42,RT,"Sweet potato, brown skin",17.37,F,"Cherries, red ",0.15,F,Pummelo,0.001,F,"Pomegranate, maroon seeds",27.2,OV,"Kovai, big",198,OV,"Cucumber, green, elongate",0.17,F,Phalsa ,1.99,RT,Tapioca,0.17,RT,"Yam, elephant",57.08,F,"Dates, dry, dark brown ",16.35,F,"Dates, dry, dark brown ",0,F,"Cherries, red ",1.76,CM,"Amaranth seed, pale brown",2.85,CSF,"Chillies, green - all varieties",5.05,CM,Ragi,2.83,F,"Grapes, seedless, round, black",0.85,NOS,"Arecanut, dried, brown ",0.65,F,"Dates, dry, dark brown ",3.46,CSD,Omum,3.04,GL,"Lentil whole, yellowish",0.75,CSF,Curry leaves,3.92
OV,"Capsicum, green",1.11,CSF,"Onion, big",0.24,GLV,"Pumpkin leaves, tender",2.25,GLV,"Colocasia leaves, green",3.69,OV,Drumstick,29.397738,F,Peach,0.03,F,Goosberry ,0.03,OV,Bottlegourd,0.29,F,"Raisins, dried, black",0.21,OV,"Tomato, green",0.07,CSD,"Chillies, red",0.92,OV,Knol - Khol,14.76,GL,"Black gram, dal",0,OV,"Capsicum, red",0.5,CSF,"Onion, big",0.05,F,"Apple, small, Kashmir ",2.55,F,Pummelo,1.55,RT,"Yam, ordinary",16.19,OV,"Papaya, raw",0.003,OV,"Tinda, tender",0.41,OV,"Capsicum, yellow",17.23,F,"Grapes, seedless, round, black",0.15,GL,Ricebean,0,F,"Grapes, seedless, round, black",26.68,F,"Musk melon, yellow flesh ",196,F,"Apple, small, Kashmir ",0.11,F,"Grapes, seedless, round, black",1.92,M,"Button mushroom, fresh ",0.17,CSF,"Garlic, small clove",56.95,CM,"Rice, raw, brown",16.1,CM,"Rice, raw, brown",0,F,Pummelo,1.76,CM,"Amaranth seed, black",2.82,GLV,Brussels sprouts,5.04,F,Phalsa ,2.82,F,"Palm fruit, tender ",0.85,OV,"Plantain, flower",0.65,OV,Ladies finger,3.44,CM,Rice puffed,3.03,GL,"Red gram, whole",0.75,NOS,Ground nut ,3.92
RT,"Carrot, red",1.04,OV,"Kovai, big",0.24,GLV,Basella leaves,2.21,OV,Ladies finger,3.62,OV,Broad beans,29.397738,F,Pear ,0.03,OV,"Capsicum, yellow",0.02,F,Peach,0.29,F,Black berry (Rubus fruticosus),0.21,OV,Ridge gourd,0.07,CM,Ragi,0.88,RT,"Sweet potato, pink skin",14.44,NOS,Linseeds,0,S,"Jaggery, cane ",0.47,F,"Water melon, pale green ",0.05,CM,"Maize, dry",2.5,F,"Tamarind, pulp",1.54,CM,Samai,16.06,CSF,"Onion, big",0.003,F,"Banana, ripe, montham",0.4,OV,Celery stalk,17.12,RT,"Yam, ordinary",0.14,NOS,Cashew nut ,0,F,Strawberry ,26.31,F,Pummelo,189,F,Pineapple ,0.08,NOS,Sunflower seeds,1.9,OV,"Cucumber, green, elongate",0.17,RT,"Yam, ordinary",56.32,RT,"Yam, ordinary",16.02,RT,"Yam, ordinary",0,CSF,"Onion, big",1.76,F,Pummelo,2.81,OV,Ladies finger,5.04,OV,"Plantain, flower",2.81,GL,"Lentil whole, brown",0.84,OV,"Jack fruit, raw",0.65,OV,Drumstick,3.43,CSD,"Cardamom, green",3.03,F,Goosberry ,0.75,GLV,Basella leaves,3.88
RT,Tapioca,1.03,OV,Celery stalk,0.24,F,"Banana, ripe, montham",2.21,OV,Parwar,3.54,F,"Musk melon, yellow flesh ",27.724696,F,"Orange, pulp ",0.03,RT,Tapioca,0.02,F,"Mango, ripe, paheri",0.28,NOS,"Coconut, kernel, fresh ",0.21,RT,"Carrot, red",0.07,F,"Dates, dry, pale brown ",0.82,S,"Jaggery, cane ",14.4,NOS,Safflower seeds ,0,OV,"Bamboo shoot, tender",0.41,GLV,"Cabbage, green",0.05,NOS,Ground nut ,2.5,CM,Ragi,1.53,OV,"Capsicum, red",15.76,CSF,"Garlic, small clove",0.003,OV,"Mango, green, raw",0.4,RT,"Carrot, orange",16.73,RT,"Potato, brown skin, big",0.14,F,Pineapple ,0,RT,"Carrot, red",25.81,OV,"Pumpkin, green, cylindrical",186,OV,"Bean scarlet, tender",0.02,F,"Guava, pink flesh ",1.89,OV,"Jack fruit, raw",0.17,OV,"Onion, stalk",55.43,NOS,"Arecanut, fresh (Areca catechu)",15.67,NOS,"Arecanut, fresh (Areca catechu)",0,OV,Cluster beans,1.75,F,Star fruit ,2.8,CSF,"Onion, small",5.02,F,"Dates, dry, dark brown ",2.81,GL,"Lentil whole, yellowish",0.84,NOS,"Arecanut, fresh (Areca catechu)",0.64,CSD,"Cardamom, black",3.39,S,"Sugarcane, juice ",3.02,S,"Sugarcane, juice ",0.75,CM,"Maize, tender, sweet",3.88
OV,"Tinda, tender",1.02,F,Mangosteen ,0.24,GLV,"Cabbage, violet",2.21,GLV,"Cabbage, violet",3.54,GLV,Bathua leaves,27.724696,F,"Lemon, juice",0.03,F,"Cherries, red ",0.02,F,"Orange, pulp ",0.28,F,"Guava, pink flesh ",0.2,RT,Beet root,0.07,GL,"Black gram, dal",0.81,F,Plum,14.29,NOS,Sunflower seeds,0,S,"Sugarcane, juice ",0.41,F,Mangosteen ,0.05,CM,"Amaranth seed, pale brown",2.5,OV,"Corn, Baby",1.52,F,"Mango, ripe, kesar ",15.74,OV,"Ridge gourd, smooth skin",0.003,F,"Guava, pink flesh ",0.4,F,"Currants, black ",16.66,MMP,Paneer,0.13,F,Avocado fruit ,0,F,"Cherries, red ",25.31,OV,"Cucumber, green, elongate",183,GL,Ricebean,0,F,"Water melon, dark green (sugar baby)",1.89,F,"Jack fruit, ripe",0.17,F,"Water melon, pale green ",54.86,F,"Water melon, dark green (sugar baby)",15.55,F,"Water melon, dark green (sugar baby)",0,OV,Parwar,1.75,GLV,Agathi leaves,2.8,OV,"Plantain, green",4.98,F,"Guava, pink flesh ",2.76,F,"Tamarind, pulp",0.84,F,"Banana, ripe, montham",0.64,F,Fig ,3.36,CSD,Nutmeg,3.02,F,Litchi ,0.74,CSD,Pippali,3.82
F,Litchi ,0.99,RT,"Potato, brown skin, big",0.23,OV,"Capsicum, red",2.19,OV,Brinjal-1,3.52,OV,Ladies finger,27.48569,F,Karonda fruit ,0.03,CSF,"Onion, small",0.02,F,"Water melon, dark green (sugar baby)",0.28,RT,Lotus root,0.2,F,Custard apple ,0.07,GL,"Bengal gram, dal",0.81,OV,Ash gourd,14.11,CSD,Poppy seeds,0,F,"Lemon, juice",0.39,CM,Rice flakes,0.05,F,Karonda fruit ,2.5,F,Litchi ,1.47,F,Strawberry ,15.28,F,"Grapes, seedless, round, green ",0.003,OV,"Plantain, flower",0.4,F,Sapota ,16.19,OV,Parwar,0.13,S,"Jaggery, cane ",0,OV,"Pumpkin, green, cylindrical",24.51,F,"Lime, sweet,pulp ",182,NOS,Sunflower seeds,0,OV,"Capsicum, green",1.84,F,"Banana, ripe, poovam ",0.17,F,"Banana, ripe, robusta ",53.5,F,"Jack fruit, ripe",15.44,F,"Jack fruit, ripe",0,MF,Coconut Water,1.75,F,"Grapes, seedless, round, black",2.74,F,Pear ,4.95,F,Peach,2.75,NOS,Sunflower seeds,0.84,OV,"Cucumber, green, elongate",0.64,CSF,"Garlic, small clove",3.27,CM,"Amaranth seed, black",3.02,GL,"Field bean, black",0.73,RT,Water Chestnut,3.8
OV,Celery stalk,0.98,OV,"Plantain, green",0.23,OV,"Capsicum, yellow",2.19,OV,"Jack fruit, raw",3.48,M,"Button mushroom, fresh ",27.48569,F,"Guava, white flesh ",0.03,RT,"Yam, ordinary",0.02,OV,"Plantain, flower",0.28,GLV,Parsley,0.2,F,"Water melon, pale green ",0.07,F,Mangosteen ,0.81,F,Fig ,13.67,CSD,Nutmeg,0,OV,Ridge gourd,0.37,F,"Water melon, dark green (sugar baby)",0.04,F,"Orange, pulp ",2.5,CM,Varagu,1.41,CM,Varagu,15.27,OV,Ridge gourd,0.003,F,"Grapes, seedless, round, black",0.39,OV,Ridge gourd,16.15,OV,Knol - Khol,0.13,GLV,"Tamarind leaves, tender",0,F,"Banana, ripe, robusta ",24.32,OV,"Papaya, raw",173,S,"Jaggery, cane ",0,F,"Grapes, seedless, round, green ",1.81,GLV,Beet greens,0.16,GLV,"Cabbage, violet",52.26,OV,"Tomato, ripe, hybrid",14.7,OV,"Tomato, ripe, hybrid",0,GLV,Lettuce,1.74,F,"Lemon, juice",2.72,CM,"Amaranth seed, pale brown",4.94,S,"Jaggery, cane ",2.73,OV,"Field beans, tender, broad",0.83,OV,"Peas, fresh",0.64,RT,"Radish, elongate, white skin",3.26,CM,"Wheat, whole",3.01,CSF,"Onion, small",0.73,CSF,"Garlic, small clove",3.79
OV,"Ridge gourd, smooth skin",0.98,OV,"Papaya, raw",0.23,OV,"Cucumber, green, elongate",2.14,OV,"Cucumber, green, elongate",3.48,F,"Lime, sweet,pulp ",27.246684,RT,"Radish, round, red skin",0.03,OV,"Tomato, ripe, hybrid",0.02,GLV,"Cabbage, violet",0.27,F,"Orange, pulp ",0.2,F,Litchi ,0.07,F,"Musk melon, yellow flesh ",0.8,F,Mangosteen ,13.52,NOS,"Niger seeds, gray ",0,F,"Orange, pulp ",0.34,F,"Papaya, ripe ",0.04,OV,"Plantain, stem",2.5,F,Star fruit ,1.4,F,"Mango, ripe, paheri",15.11,OV,"Tomato, ripe, hybrid",0.003,OV,"Capsicum, red",0.38,RT,"Radish, elongate, white skin",16.07,F,"Pomegranate, maroon seeds",0.13,MF,Coconut Water,0,OV,"Papaya, raw",24.11,F,"Papaya, ripe ",173,CSF,"Garlic, big clove",0,GL,"Field bean, white",1.7,RT,"Sweet potato, brown skin",0.16,F,Litchi ,51.98,OV,"Plantain, stem",14.38,OV,"Plantain, stem",0,CSF,Curry leaves,1.73,F,"Musk melon, yellow flesh ",2.72,OV,"Red gram, tender, fresh",4.89,RT,"Radish, round, red skin",2.71,F,Sapota ,0.82,CSF,Coriander leaves,0.63,CSD,Omum,3.23,CSD,Pippali,3.01,OV,"Pumpkin, green, cylindrical",0.73,F,Wood Apple ,3.72
F,Strawberry ,0.97,OV,Ladies finger,0.22,F,Peach,2.13,F,Strawberry ,3.4,F,Star fruit ,26.29066,F,"Musk melon, yellow flesh ",0.03,OV,"Kovai, big",0.02,OV,Bitter gourd,0.27,F,Custard apple ,0.19,RT,"Radish, round, red skin",0.07,OV,"Corn, Baby",0.79,F,Pummelo,13.44,CSD,Pippali,0,OV,"Ridge gourd, smooth skin",0.34,F,Karonda fruit ,0.04,RT,"Radish, elongate, white skin",2.5,F,Plum,1.32,CM,Rice puffed,15.09,NOS,"Coconut, kernel, fresh ",0.003,OV,"Kovai, big",0.38,F,Strawberry ,15.53,OV,"Tomato, green",0.12,F,Black berry (Rubus fruticosus),0,F,Phalsa ,23.65,CSF,"Onion, big",171,CSF,"Ginger, fresh",0,OV,"Capsicum, red",1.7,GLV,"Cabbage, green",0.16,F,"Water melon, dark green (sugar baby)",51.9,OV,"Tomato, green",13.57,OV,"Tomato, green",0,OV,"Bamboo shoot, tender",1.73,OV,"Tomato, green",2.69,F,Custard apple ,4.88,CM,"Maize, dry",2.64,RT,Lotus root,0.82,GLV,"Tamarind leaves, tender",0.63,GLV,Brussels sprouts,3.23,F,Pineapple ,3.01,CSF,"Garlic, small clove",0.73,NOS,"Niger seeds, black ",3.69
RT,"Carrot, orange",0.95,OV,"Colocasia, stem, black",0.22,GLV,"Betel leaves, big (kolkata)",2.12,GLV,Cauliflower leaves,3.39,OV,"Jack fruit, raw",26.29066,F,"Lime, sweet,pulp ",0.03,F,Plum,0.02,F,Fig ,0.27,F,"Water melon, pale green ",0.19,RT,"Radish, elongate, white skin",0.07,GL,"Soya bean, white",0.77,OV,"Plantain, stem",12.85,NOS,Pistachio nuts,0,F,Litchi ,0.33,F,"Jambu fruit, ripe",0.04,OV,"Papaya, raw",2.45,RT,"Radish, round, red skin",1.2,F,"Palm fruit, tender ",15.02,F,Mangosteen ,0.003,F,"Cherries, red ",0.36,F,"Lime, sweet,pulp ",15.4,F,"Currants, black ",0.11,F,Strawberry ,0,F,"Guava, white flesh ",23.54,F,"Grapes, seedless, round, green ",168,CSF,Mango ginger,0,F,"Cherries, red ",1.64,OV,"Tomato, green",0.16,GLV,Bathua leaves,50.68,OV,"Mango, green, raw",13,OV,"Mango, green, raw",0,CSF,"Chillies, green - all varieties",1.72,OV,Cluster beans,2.68,F,"Pomegranate, maroon seeds",4.87,NOS,"Gingelly seeds, black",2.63,OV,Cluster beans,0.82,GLV,"Cabbage, violet",0.63,OV,Ash gourd,3.22,NOS,"Gingelly seeds, white",3,OV,"Tomato, green",0.73,OV,"Bamboo shoot, tender",3.69
F,Black berry (Rubus fruticosus),0.92,GLV,"Cabbage, violet",0.21,F,"Cherries, red ",2.12,GLV,"Cabbage, green",3.25,GLV,Radish leaves,26.051654,F,Star fruit ,0.03,F,"Jambu fruit, ripe",0.02,F,"Mango, ripe, kesar ",0.26,F,"Water melon, dark green (sugar baby)",0.19,F,"Palm fruit, tender ",0.07,GL,"Rajmah, brown",0.77,F,"Dates, dry, dark brown ",12.8,CSD,Omum,0,OV,Knol - Khol,0.32,OV,Parwar,0.04,F,Pineapple ,2.4,CSF,"Onion, small",1.1,OV,"Ridge gourd, smooth skin",14.96,F,"Water melon, dark green (sugar baby)",0.002,F,"Jack fruit, ripe",0.36,F,"Guava, white flesh ",15.26,OV,Ridge gourd,0.11,OV,"Bamboo shoot, tender",0,F,Litchi ,23.32,CM,"Maize, tender, local",167,F,Avocado fruit ,0,F,Pear ,1.64,OV,Knol - Khol,0.15,F,"Palm fruit, tender ",50.64,F,"Tamarind, pulp",12.86,F,"Tamarind, pulp",0,OV,"Capsicum, green",1.72,GLV,Beet greens,2.62,F,Karonda fruit ,4.85,CSF,"Onion, small",2.62,OV,Ladies finger,0.81,OV,"Bean scarlet, tender",0.62,F,"Pomegranate, maroon seeds",3.18,RT,"Carrot, red",3,OV,Ridge gourd,0.72,F,"Water melon, pale green ",3.64
F,Sapota ,0.92,RT,Tapioca,0.2,OV,"Plantain, stem",2.12,OV,"Tomato, ripe, hybrid",3.2,OV,"Onion, stalk",25.573642,OV,"Onion, stalk",0.03,F,Pummelo,0.02,OV,"Mango, green, raw",0.26,F,Litchi ,0.19,OV,"Colocasia, stem, black",0.06,GL,"Rajmah, red",0.77,OV,"Tomato, green",12.51,CSD,"Chillies, red",0,OV,"Plantain, stem",0.32,S,"Jaggery, cane ",0.04,F,"Banana, ripe, montham",2.2,CSF,"Onion, big",1.08,OV,"Capsicum, green",14.75,F,"Musk melon, yellow flesh ",0.002,RT,"Radish, elongate, white skin",0.36,CSF,"Onion, small",15.16,CSF,"Onion, small",0.11,F,"Banana, ripe, montham",0,F,"Jack fruit, ripe",23.03,OV,"Tomato, ripe, hybrid",167,F,"Banana, ripe, montham",0,MF,Toddy,1.64,OV,"Capsicum, green",0.15,F,Fig ,50.57,RT,Tapioca,12.83,RT,Tapioca,0,RT,Lotus root,1.71,F,Pineapple ,2.61,RT,"Carrot, orange",4.84,CSD,Mace,2.61,OV,"Plantain, flower",0.81,F,"Apple, small, Kashmir ",0.62,OV,"Cucumber, green, elongate",3.17,GL,"Black gram, dal",2.99,OV,Ash gourd,0.72,F,Plum,3.63
OV,"Colocasia, stem, black",0.91,F,"Lime, sweet,pulp ",0.2,OV,Bottlegourd,2.12,OV,"Tomato, green",3.18,OV,Brinjal-1,25.334636,F,Strawberry ,0.03,F,Peach,0.02,OV,"Bamboo shoot, tender",0.25,OV,"Onion, stalk",0.19,OV,"Cucumber, green, elongate",0.06,GL,"Field bean, brown",0.76,F,"Lemon, juice",12.43,CSD,Fenugreek seeds,0,F,"Lime, sweet,pulp ",0.3,F,"Orange, pulp ",0.04,F,"Lime, sweet,pulp ",2.2,NOS,Linseeds,1.05,F,"Guava, pink flesh ",14.22,F,Pineapple ,0.002,F,Strawberry ,0.36,OV,"Papaya, raw",15.03,F,Goosberry ,0.11,OV,"Jack fruit, raw",0,OV,"Capsicum, green",23,F,"Cherries, red ",165,OV,"Field beans, tender, broad",0,F,"Mango, ripe, paheri",1.63,F,"Banana, ripe, montham",0.15,F,Goosberry ,47.41,F,"Raisins, dried, black",11.91,F,"Raisins, dried, black",0,S,"Jaggery, cane ",1.64,OV,"Plantain, green",2.59,CM,"Amaranth seed, black",4.83,NOS,"Gingelly seeds, white",2.59,OV,"Plantain, green",0.8,GL,"Rajmah, brown",0.62,OV,"Capsicum, red",3.16,CM,"Amaranth seed, pale brown",2.99,GL,"Red gram, dal",0.71,CSD,"Pepper, black",3.62
OV,Ridge gourd,0.91,RT,Colocasia,0.17,OV,Celery stalk,2.09,MF,Coconut Water,3.16,F,Strawberry ,24.617618,F,"Palm fruit, tender ",0.03,F,Pear ,0.02,F,Bael fruit ,0.25,F,"Raisins, dried, golden ",0.18,OV,Celery stalk,0.06,CM,"Wheat flour, atta",0.76,GLV,Beet greens,11.52,GL,Lentil dal,0,F,Goosberry ,0.27,CM,Rice puffed,0.04,RT,"Potato, brown skin, big",2.12,F,Custard apple ,0,F,"Grapes, seedless, round, green ",14.22,GL,Ricebean,0.002,F,"Banana, ripe, poovam ",0.35,F,Litchi ,14.58,F,Bael fruit ,0.1,F,"Jack fruit, ripe",0,OV,"Tomato, green",22.5,OV,"Bean scarlet, tender",164,CSF,"Chillies, green - all varieties",0,F,"Jack fruit, ripe",1.62,RT,"Sweet potato, pink skin",0.14,OV,"Peas, fresh",46.75,F,Fig ,11.63,F,Fig ,0,GLV,"Pumpkin leaves, tender",1.63,F,Peach,2.54,F,"Raisins, dried, black",4.8,CSD,"Cardamom, black",2.58,RT,Tapioca,0.8,F,"Raisins, dried, black",0.61,OV,Bottlegourd,3.15,CSD,Cloves,2.99,RT,Tapioca,0.7,F,"Water melon, dark green (sugar baby)",3.54
RT,"Radish, round, red skin",0.89,RT,"Yam, ordinary",0.17,F,"Apple, small, Kashmir ",2.07,NOS,Almond ,3.04,OV,"French beans, hybrid",24.378612,F,"Papaya, ripe ",0.03,F,"Orange, pulp ",0.02,RT,"Carrot, red",0.25,OV,"Tomato, ripe, hybrid",0.18,OV,"Tinda, tender",0.06,CSD,Turmeric powder,0.76,CM,"Rice, raw, brown",11.51,CM,Varagu,0,RT,Lotus root,0.27,CSD,Pippali,0.03,GL,"Bengal gram, whole",2.1,RT,Lotus root,0,F,Pummelo,14.03,OV,"Corn, Baby",0.002,F,"Papaya, ripe ",0.35,F,"Cherries, red ",14.37,OV,"Plantain, stem",0.1,S,"Sugarcane, juice ",0,F,Sapota ,22.26,F,"Orange, pulp ",164,F,"Banana, ripe, poovam ",0,F,"Water melon, pale green ",1.62,OV,"Plantain, stem",0.14,OV,"Tinda, tender",46.46,F,"Orange, pulp ",11.11,F,"Orange, pulp ",0,F,"Jack fruit, ripe",1.63,CSD,Asafoetida,2.49,NOS,"Niger seeds, black ",4.71,F,Wood Apple ,2.58,GL,"Rajmah, black",0.79,RT,Beet root,0.61,NOS,"Niger seeds, black ",3.14,CM,"Maize, tender, local",2.97,F,"Raisins, dried, golden ",0.7,CM,"Maize, tender, local",3.54
RT,Water Chestnut,0.86,OV,"Tinda, tender",0.17,F,Plum,2.07,F,"Water melon, pale green ",3.02,GLV,Spinach,24.378612,F,"Musk melon, orange flesh",0.03,F,Karonda fruit ,0.02,F,Karonda fruit ,0.25,F,Strawberry ,0.18,MMP,Khoa,0.06,F,Custard apple ,0.76,MF,Coconut Water,10.88,CM,Jowar,0,OV,"Plantain, green",0.27,F,"Pomegranate, maroon seeds",0.03,F,"Water melon, dark green (sugar baby)",2.1,OV,Ash gourd,0,OV,"Plantain, green",13.8,GLV,"Tamarind leaves, tender",0.002,GLV,"Cabbage, green",0.35,F,"Mango, ripe, paheri",14.28,OV,"Tinda, tender",0.1,CSF,"Garlic, small clove",0,GLV,"Cabbage, violet",22.14,F,Plum,162,NOS,Cashew nut ,0,F,Bael fruit ,1.56,OV,"Pumpkin, green, cylindrical",0.14,GLV,Radish leaves,45.49,F,"Guava, white flesh ",11.08,F,"Guava, white flesh ",0,CSF,Mint leaves,1.62,CSD,Pippali,2.44,F,Pummelo,4.69,NOS,"Gingelly seeds, brown ",2.57,OV,"Jack fruit, raw",0.79,F,Goosberry ,0.61,CM,"Maize, tender, sweet",3.05,CM,Jowar,2.96,NOS,"Arecanut, fresh (Areca catechu)",0.7,GLV,Mustard leaves,3.52
F,Peach,0.86,F,"Jambu fruit, ripe",0.17,F,"Lime, sweet,pulp ",2.07,GLV,Lettuce,3.01,MF,Toddy,24.139606,OV,"Pumpkin, green, cylindrical",0.03,RT,"Radish, round, red skin",0.02,GLV,"Cabbage, green",0.24,RT,"Radish, round, red skin",0.18,F,Star fruit ,0.06,F,"Raisins, dried, golden ",0.75,F,Sapota ,10.83,CM,Samai,0,RT,Colocasia,0.27,F,"Dates, dry, pale brown ",0.03,CM,"Rice, raw, brown",2,NOS,"Garden cress, seeds ",0,CSF,Mango ginger,13.74,GLV,Brussels sprouts,0.002,RT,"Sweet potato, brown skin",0.35,F,"Apricot, dried ",14.04,RT,"Radish, elongate, white skin",0.1,OV,Brinjal-1,0,S,"Sugarcane, juice ",22.08,F,Litchi ,161,OV,Knol - Khol,0,F,Star fruit ,1.56,F,Bael fruit ,0.14,F,Karonda fruit ,45.12,F,"Water melon, pale green ",10.52,F,"Water melon, pale green ",0,GLV,"Cabbage, violet",1.62,NOS,Almond ,2.38,OV,Cluster beans,4.68,F,"Guava, white flesh ",2.55,RT,"Carrot, orange",0.78,GL,"Cowpea, white",0.6,F,Pear ,3.04,CSD,"Cardamom, black",2.95,CM,"Maize, tender, sweet",0.7,GLV,"Betel leaves, big (kolkata)",3.46
OV,"Pumpkin, green, cylindrical",0.84,CSF,"Garlic, big clove",0.16,OV,"Capsicum, green",2.06,OV,"Onion, stalk",2.99,F,"Palm fruit, tender ",24.139606,GLV,"Cabbage, green",0.03,F,"Musk melon, yellow flesh ",0.02,F,Sapota ,0.24,F,"Tamarind, pulp",0.17,MF,Coconut Water,0.06,F,"Musk melon, orange flesh",0.75,CSF,"Ginger, fresh",10.82,CM,Bajra,0,GLV,Brussels sprouts,0.26,OV,Bitter gourd,0.03,F,Star fruit ,2,GL,"Field bean, white",0,OV,Ridge gourd,13.7,F,Bael fruit ,0.002,OV,"Plantain, green",0.34,OV,"Tomato, green",13.57,OV,"Capsicum, green",0.1,OV,"Capsicum, red",0,F,Goosberry ,21.85,CSF,"Onion, small",160,OV,"Jack fruit, raw",0,OV,"Capsicum, yellow",1.56,F,Strawberry ,0.14,MF,Toddy,44.9,CM,"Maize, tender, local",10.46,CM,"Maize, tender, local",0,GLV,Beet greens,1.59,CSD,Mace,2.35,OV,"Plantain, stem",4.59,F,"Grapes, seedless, round, black",2.55,F,"Water melon, dark green (sugar baby)",0.78,OV,"Pumpkin, green, cylindrical",0.6,OV,Cluster beans,2.99,OV,"Plantain, green",2.93,F,"Apricot, dried ",0.7,S,"Jaggery, cane ",3.45
F,"Jambu fruit, ripe",0.82,S,"Jaggery, cane ",0.16,F,"Mango, ripe, kesar ",2.02,F,Karonda fruit ,2.87,OV,Parwar,24.139606,F,"Water melon, dark green (sugar baby)",0.03,F,Star fruit ,0.02,F,Litchi ,0.23,RT,Tapioca,0.17,F,"Musk melon, yellow flesh ",0.06,F,"Guava, white flesh ",0.74,F,"Apricot, dried ",10.5,CM,Ragi,0,GLV,Spinach,0.26,OV,Bottlegourd,0.03,CM,"Maize, tender, local",2,OV,"Jack fruit, raw",0,OV,"Plantain, stem",11.24,GL,"Green gram, dal",0.002,F,"Jambu fruit, ripe",0.33,OV,"Pumpkin, green, cylindrical",13.27,OV,Ash gourd,0.09,CSF,"Onion, big",0,F,Fig ,21.62,F,Star fruit ,159,M,"Button mushroom, fresh ",0,F,Plum,1.55,S,"Sugarcane, juice ",0.14,GLV,Brussels sprouts,43.82,OV,"Papaya, raw",9.6,OV,"Papaya, raw",0,CSF,"Ginger, fresh",1.58,RT,Tapioca,2.32,NOS,"Arecanut, fresh (Areca catechu)",4.51,OV,"Tomato, ripe, hybrid",2.55,RT,Colocasia,0.77,CSF,Curry leaves,0.6,OV,"Capsicum, yellow",2.98,F,"Raisins, dried, black",2.91,F,"Grapes, seedless, round, green ",0.69,F,"Guava, pink flesh ",3.36
